Bronze Fire Spirit of Heb	Regenerating Health,Fire Bomb,Bomb Reload+	Uncommon
Bronze Hedjet Flail	Power Shot,Bomb Damage+,Bomb Reload+	Challenge Reward (Icy Death DLC)
Bronze Ice Spirit of Heb	Regenerating Health,Ice Bomb,Bomb Reload+	Uncommon
Bronze Jeweled Scarab Fetish	Treasure Hunter,Supply Hunter,Regenerating Ammo	Uncommon
Bronze Jeweled Spirit Fetish	Treasure Hunter,Regenerating Health,Regenerating Ammo	Uncommon
Bronze Osiris's Ankh Flail	Scatter Shot,Leech Magic Projectiles,Leech Bomb	Uncommon
Bronze Osiris's Fire Flail	Scatter Shot,Fire Projectiles,Fire Bomb	Uncommon
Bronze Osiris's Ice Flail	Scatter Shot,Ice Projectiles,Ice Bomb	Uncommon
Bronze Osiris's Poison Flail	Scatter Shot,Poisonous Projectiles,Poison Bomb	Challenge Reward (Tomb of the Lamplighter)
Bronze Poison Spirit of Heb	Regenerating Health,Poison Bomb,Bomb Reload+	Uncommon
Bronze Set's Ankh Crook	Bomb Damage+,Leech Magic Projectiles,Leech Bomb	Challenge Reward (Tomb of the Torturer)
Bronze Set's Ankh Flail	Power Shot,Leech Magic Projectiles,Leech Bomb	Uncommon
Bronze Set's Crook and Flail	Power Shot,Bomb Damage+,Bomb Reload+	Community Challenge Reward
Bronze Set's Fire Crook	Bomb Damage+,Fire Projectiles,Fire Bomb	Uncommon
Bronze Set's Fire Flail	Power Shot,Fire Projectiles,Fire Bomb	Uncommon
Bronze Set's Ice Crook	Bomb Damage+,Ice Projectiles,Ice Bomb	Uncommon
Bronze Set's Ice Flail	Power Shot,Ice Projectiles,Ice Bomb	Uncommon
Bronze Set's Poison Flail	Power Shot,Poisonous Projectiles,Poison Bomb	Uncommon
Bronze Shen's Flail	Power Shot,Scatter Shot,Regenerating Ammo	Uncommon
Bronze Spirit Ankh of Heb	Ice Projectiles,Leech Bomb,Regenerating Health	Community Challenge Reward
Bronze Spirit Feet of Heb and Shen	Regenerating Health,Regenerating Ammo,Bomb Reload+	Uncommon
Bronze Spirit Flail of Heb and Shen	Regenerating Health,Regenerating Ammo,Power Shot	Challenge Reward (Tomb of the Architect)
Bronze Spirit of Set's Flail**	Power Shot,Regenerating Health,Leech Magic Projectiles	Uncommon or Community Challenge Reward
Bronze Spirit of Set's Flail**	? ? ?	Community Challenge Reward
Copper Ankh Crook and Flail	Leech Bomb,Leech Magic Projectiles	Uncommon
Copper Fire Crook and Flail	Fire Projectiles,Fire Bomb	Uncommon
Copper Ice Crook and Flail	Ice Projectiles,Ice Bomb	Uncommon
Copper Jeweled Scarab Fetish	Treasure Hunter,Supply Hunter	Uncommon
Copper Osiris's Ankh Flail	Scatter Shot,Leech Magic Projectiles	Uncommon
Copper Osiris's Fire Flail	Scatter Shot,Fire Projectiles	Uncommon
Copper Osiris's Ice Flail	Scatter Shot,Ice Projectiles	Uncommon
Copper Osiris's Meteor Flail	Scatter Shot,Explosive Projectiles	Uncommon
Copper Osiris's Poison Flail	Scatter Shot,Poisonous Projectiles	Uncommon
Copper Poison Crook and Flail	Poison Bomb,Poisonous Projectiles	Uncommon
Copper Set's and Osiris's Flail	Power Shot,Scatter Shot	Uncommon
Copper Set's Ankh Flail	Power Shot,Leech Magic Projectiles	Uncommon
Copper Set's Crook and Flail	Power Shot,Bomb Damage+	Uncommon
Copper Set's Fire Flail	Power Shot,Fire Projectiles	Uncommon
Copper Set's Ice Flail	Power Shot,Ice Projectiles	Uncommon
Copper Set's Poison Flail	Power Shot,Poisonous Projectiles	Uncommon
Copper Spirit Ankh of Heb	Regenerating Health,Leech Magic Projectiles	Challenge Reward (Waterfall of Sobek)
Copper Spirit of Heb and Hedjet	Regenerating Health,Bomb Reload+	Uncommon
Copper Spirit of Shen and Heb	Regenerating Health,Regenerating Ammo	Challenge Reward (Tomb of the Ferryman)
Copper Spirit of Shen and Set	Regenerating Ammo,Power Shot	Uncommon
Frozen Pendant of Set's Chosen	Ice Projectiles,Ice Bomb,Scatter Shot,Regenerating Health,Ice Aura	Challenge Reward (Icy Death DLC)
Gold Spirit of Shen	Regenerating Ammo,Regenerating Health,Bomb Reload+,Treasure Hunter,Supply Hunter	Epic
Heb's Gold Crook and Flail	Power Shot,Bomb Damage+,Bomb Reload+,Regenerating Ammo,Scatter Shot	Epic
Iron Ankh Crook	Leech Bomb	Common
Iron Ankh Flail	Leech Magic Projectiles	Common
Iron Feet of Hedjet	Bomb Reload+	Common
Iron Fire Crook	Fire Bomb	Challenge Reward (Tomb of the Timekeeper)
Iron Fire Flail	Fire Projectiles	Pick-up
Iron Ice Crook	Ice Bomb	Common
Iron Ice Flail	Ice Projectiles	Common
Iron Jeweled Fetish**	Treasure Hunter	Common
Iron Jeweled Fetish**	Regenerating Ammo	Challenge Reward (Tomb of the Silversmith)
Iron Osiris's Flail	Scatter Shot	Pick-up
Iron Poison Crook	Poison Bomb	Common
Iron Poison Flail	Poisonous Projectiles	Common
Iron Scarab Fetish	Supply Hunter	DLC
Iron Set's Crook	Bomb Damage+	DLC
Iron Set's Flail	Power Shot	Common
Iron Spirit of Heb	Regenerating Health	Challenge Reward (Pyramid of Osiris)
Onyx Spirit of Khepri	Power Shot,Bomb Damage+,Bomb Reload+,Regenerating Ammo,Regenerating Health,Scatter Shot	Legendary
Onyx Spirit of Osiris	Power Shot,Leech Magic Projectiles,Leech Bomb,Bomb Damage+,Regenerating Ammo,Bomb Reload+	Legendary
