Agent Ring 	Weapon Damage+,Bomb Damage+ 	Hitman DLC
Augment Ring 	10% Cheaper Items 	Deus Ex DLC
Broken Bronze Ring of Set 	Cold Resistance,Fire Resistance,Poison Resistance,Weakness to Explosives 	Uncommon
Broken Copper Ring of Reach 	Bomb Radius+,Speed+,Weakness to Explosives 	Uncommon
Broken Iron Ring of Osiris 	Magic Shield Life+,Weakness to Explosives 	Common
Broken Iron Ring of Sobek 	Lightning Resistance,Weakness to Explosives 	Uncommon
Bronze Ring of Abundance 	Ammo Efficiency+,Weapon Damage+ 	Rare
Bronze Ring of Haste 	Weapon Damage+,Speed+ 	Rare
Bronze Ring of Khepri 	Explosive Resistance,Bomb Radius+ 	Rare
Bronze Ring of Khet 	Fire Resistance,Cold Resistance 	Rare
Bronze Ring of Light 	Torch Range+,Magic Shield Life+ 	Rare
Bronze Ring of Protected Haste 	Defense+,Speed+ 	Rare
Bronze Ring of Protection 	Weapon Damage+,Defense+ 	Rare
Bronze Ring of Rage 	Rate of Fire+,Ammo Efficiency+ 	Rare
Bronze Ring of Reach 	Bomb Radius+,Speed+ 	Challenge Reward (Tomb of the Architect)
Bronze Ring of Serket* 	Poison Resistance,Cold Resistance 	Rare
Bronze Ring of Serket* 	Poison Resistance,Lightning Resistance 	Community Challenge Reward
Bronze Ring of Set 	Cold Resistance,Speed+ 	Rare
Bronze Ring of Strength 	Weapon Damage+,Bomb Radius+ 	Challenge Reward (Cliffside)
Bronze Strengthened Ring of Rage 	Rate of Fire+,Speed+ 	Rare
Burned Bronze Ring of Khet 	Cold Resistance,Poison Resistance,Explosive Resistance,Weakness to Fire 	Uncommon
Burned Copper Ring of Haste 	Speed+,Cold Resistance,Weakness to Fire 	Uncommon
Burned Iron Ring of Light 	Torch Range+,Weakness to Fire 	Common
Burned Iron Ring of Serket 	Poison Resistance,Weakness to Fire 	Common
Burned Iron Ring of Set 	Cold Resistance,Weakness to Fire 	Challenge Reward (Pyramid of Osiris)
Copper Ring of Abundance 	Ammo Efficiency+ 	Uncommon
Copper Ring of Haste 	Speed+ 	Season Pass DLC
Copper Ring of Khepri 	Explosive Resistance 	Uncommon
Copper Ring of Light 	Torch Range+ 	Uncommon
