AR-06 	3 	8 	7 	Challenge Reward (Tomb of the Ferryman)	TBD
Assault Rifle 	2 	8 	7 	Pick-up (Tomb of the Silversmith)	TBD
Automatic Dart Rifle 	2 	8 	7 	Season Pass DLC	TBD
Automatic Pistols 	1 	9 	2 	Challenge Reward (Pyramid of Osiris)	TBD
Automatic Shotgun 	6 	5 	2 	Challenge Tomb #3	TBD
Bolt Action Rifle 	6 	2 	8 	Challenge Tomb #1	TBD
Chaingun 	2 	10 	10 	Challenge Reward (Tomb of the Architect)	TBD
Cluster Bomb Launcher 	3 	7 	4 	Pick-up (Twisted Gears DLC)	TBD
Dart Rifle 	6 	2 	8 	Season Pass DLC	TBD
Double Barrel Shotgun 	10 	2 	7 	Challenge Reward (Tomb of Set)	TBD
Dual Pistols 	1 	8 	0 	Starter (Lara)	TBD
Dual Submachine Guns 	1 	8 	3 	Challenge Tomb #4	TBD
Fast Action Rifle 	4 	4 	7 	Challenge Reward (Tomb of the Lamplighter)	TBD
Flamethrower 	7 	10 	7 	Pick-up (Oracle's Chamber)	TBD
FR-27 Sanction Flechette Rifle 	3 	8 	5 	Deus Ex DLC	TBD
Gold Flamethrower 	7 	10 	7 	Community Challenge Reward	TBD
Gold Pistol 	2 	6 	2 	Legend DLC	TBD
Gold Rifle 	7 	2 	8 	Community Challenge Reward	TBD
Gold Shotgun 	9 	2 	4 	Community Challenge Reward	TBD
Gold Submachine Gun 	1 	7 	1 	Community Challenge Reward	TBD
Grenade Launcher 	7 	3 	8 	Pick-up (Tomb of the Lamplighter)	TBD
Hand Cannons 	3 	6 	3 	Challenge Reward (Tomb of the Timekeeper)	TBD
Heavy Grenade Launcher 	8 	2 	9 	Challenge Tomb #5	TBD
High Powered Assault Rifle 	3 	7 	9 	Challenge Tomb #2	TBD
High Powered Rifle 	8 	2 	8 	Pick-up (Tomb of the Architect)	TBD
High Powered Shotgun 	10 	2 	6 	Challenge Reward (Tomb of Khepri)	TBD
High Powered Submachine Gun 	1 	8 	1 	Pick-up (Tomb of the Torturer)	TBD
Ice-Enchanted Assault Rifle 	2 	8 	7 	Legendary	TBD
Ice-Enchanted Pistols 	1 	8 	3 	Legendary	TBD
Ice-Enchanted Rifle 	6 	2 	8 	Legendary	TBD
Ice-Enchanted Shotgun 	9 	2 	4 	Legendary	TBD
Ice-Enchanted Submachine Gun 	1 	7 	1 	Legendary	TBD
Icy Death 	6 	2 	8 	Pick-up (Icy Death DLC)	TBD
Incendiary Assault Rifle 	2 	8 	7 	Legendary	TBD
Incendiary Pistols 	1 	8 	3 	Legendary	TBD
Incendiary Rifle 	6 	2 	8 	Legendary	TBD
Incendiary Shotgun 	9 	2 	4 	Legendary	TBD
Large Machine Gun 	3 	8 	5 	Challenge Reward (Tomb of Sobek)	TBD
Machine Pistols 	1 	10 	5 	Pick-up (Tomb of the Ferryman)	TBD
Magnums 	3 	7 	4 	Challenge Reward (Tomb of the Silversmith)	TBD
Onyx Assault Rifle 	4 	8 	10 	Canopic Jars [15]	TBD
Onyx Marksman Rifle 	10 	1 	8 	Canopic Jars [20]	TBD
Onyx Pistols 	3 	7 	4 	Canopic Jars [5]	TBD
Onyx Rocket Launcher 	10 	1 	6 	Canopic Jars [30] (Total: 105)	TBD
Onyx Shotgun 	10 	2 	4 	Canopic Jars [25]	TBD
Onyx Submachine Gun 	1 	8 	3 	Canopic Jars [10]	TBD
Railgun 	10 	2 	10 	Challenge Reward (Tomb of the Torturer)	TBD
Revolver	?	?	0 	Starter (Carter)	TBD
Rocket Launcher 	8 	2 	9 	Pick-up (Tomb of the Pharaoh)	TBD
Shotgun 	9 	2 	4 	Pick-up (Tomb of the Timekeeper)	TBD
Silverballers 	2 	9 	2 	Hitman DLC	TBD
Spitfire 	1 	7 	1 	Legendary	TBD
Staff of Horus 	?	?	0 	Starter (Horus)	TBD
Staff of Osiris ?	?	0 	Starter (Isis)	TBD
Submachine Gun 	1 	7 	1 	Pick-up (Pyramid of Osiris)	TBD
Toxic Dart Gun 	1 	8 	3 	Season Pass DLC	TBD
Toxic Shotgun 	9 	2 	4 	Season Pass DLC	TBD
Toxic Submachine Gun 	1 	7 	1 	Season Pass DLC	TBD
